key,bundesland,east,urban,rich,population,inflow_1000,iv_1000,iv_1000_2000,share_male,share_u20,share_20_44,share_45_64,sh_afd_2013,sh_afd_2017,sh_afd_2021,sh_cdu_csu_2013,sh_cdu_csu_2017,sh_cdu_csu_2021,sh_spd_2013,sh_spd_2017,sh_spd_2021,sh_linke_2013,sh_linke_2017,sh_linke_2021,turnout_pct_2013,turnout_pct_2017,turnout_pct_2021,d_afd_1317,d_afd_1721,farright_2021,left_2021,wage_2021,unemp_rate
12061,12,1,1,0,175834.0,7.677696008735512,8.448888697711018,8.760806684848193,0.4952910131146422,0.1811993129883867,0.2696008735511903,0.3051685112094361,6.481578341736929,21.40787722183071,18.114497559521592,34.45299914220558,26.694268264035703,16.039159432169605,22.541163671360128,17.344961240310077,28.167033048921347,21.397786471954305,16.242854905645604,7.999552889451916,72.4,76.3,77.9,14.92629888009378,-3.2933796623091176,18.11,8.0,2788.46,20.871958779303206
12062,12,1,1,0,100317.0,6.379776109732149,2.8323365932489177,3.3382171616488714,0.4951802785171008,0.1594844343431322,0.2235413738449116,0.3228864499536469,5.949794051827587,24.196712124042595,24.603275966665603,40.71773748905393,29.61579176785603,16.066924231297293,19.800214056368176,15.492870041721154,28.38053577700437,20.53968151007038,14.793885048882249,7.03885820109199,68.0,74.5,75.1,18.246918072215006,0.40656384262300804,24.6,7.04,2515.77,33.35426697369339
12063,12,1,1,0,165906.0,10.578279266572636,4.257047686585141,4.575248495804618,0.4938881053126469,0.1883717285691898,0.2589659204609839,0.3206876182898749,6.46200405809728,17.995978905041106,16.32895472330911,34.93058819483452,28.824513942252025,16.94581969176715,24.339412836885124,19.27283445088896,29.79717320130959,19.33442619192278,14.670680744007832,6.8843328275972215,69.5,73.8,76.4,11.533974846943826,-1.6670241817319962,16.33,6.88,2553.83,29.161091220329585
12064,12,1,1,0,197965.0,7.577096961584118,6.356157337172521,5.638706017143263,0.4958149167782184,0.180036875205213,0.2504281059783295,0.3192988659611547,6.17776423770445,20.832329559142376,19.14742658720222,32.53584417068109,25.33554737240596,14.86369175806748,22.440450122812692,15.82406993151392,28.68900352247876,25.83065176412346,20.236948067591285,10.201833024490409,67.9,73.9,75.7,14.654565321437927,-1.6849029719401578,19.15,10.2,2663.0,29.389033414997602
12065,12,1,1,0,215795.0,8.758312287124355,5.830981659692569,6.828108605030566,0.4924071456706596,0.185059894807572,0.2582960680275261,0.3184318450381149,6.588014916908694,19.33737463150158,16.96688452831324,36.15288112873567,27.982960158701303,16.73598628148527,23.612710306071595,18.614208824993877,28.938244120367933,19.356751276014368,14.947007358113288,7.014944456561797,70.1,74.9,77.0,12.749359714592885,-2.370490103188338,16.97,7.01,2858.71,27.081257675108322
12066,12,1,1,0,107558.0,11.063798136819205,3.773797924640683,3.6323960359928424,0.4911303668718273,0.157152420089626,0.2354264675802822,0.3098607263058071,5.825635913331984,25.853797487331715,25.093586989874197,37.92738204644933,25.75335072411622,14.064130101258057,20.595336375956013,16.016011513897634,28.812519177661866,23.135874390566837,16.30835657101736,7.456274930960418,65.8,71.9,73.1,20.028161573999732,-0.7602104974575177,25.09,7.46,2736.59,38.04458989568419
12067,12,1,1,0,179245.0,20.72582219866663,8.650429526189738,11.396510804381109,0.4895868782950709,0.172668693687411,0.2394766939105693,0.3103740690116879,6.504128597254116,22.137061259674308,20.67426916463028,33.84179410758782,24.94799767629256,14.25558874106254,22.164459862217228,16.638869628768997,28.965517241379317,24.0074265891435,18.22798568296385,8.90306815096389,68.8,72.7,75.7,15.632932662420192,-1.4627920950440263,20.67,8.9,2733.79,32.21847192390304
12068,12,1,1,0,98829.0,8.904268989871396,2.874981129273307,3.727326231224062,0.4975968592214835,0.1663985267482216,0.2449281081463942,0.3167187768772324,4.891872872168439,18.48410670573731,18.234081218983714,36.2078475378968,29.77290188861293,16.235059760956176,25.210643437244425,20.37807993996462,34.40623471028168,22.26829221903113,16.765236657315917,8.230236946949047,62.7,68.1,70.4,13.592233833568873,-0.2500254867535965,18.23,8.23,2594.52,32.19702718837588
12069,12,1,1,0,219521.0,8.541324064668073,6.323701958129193,11.746372641977306,0.4946087162503815,0.1927651568642635,0.2442317591483274,0.3264972371663759,5.692953803079795,15.367174229555932,13.07984845337936,35.966140269011305,28.96217544285368,16.725275197490458,24.80781982955522,19.3255581169619,29.85525722102459,18.42637391425367,14.435968211599128,7.387539659234962,73.4,77.8,80.7,9.674220426476136,-2.287325776176571,13.08,7.39,2717.08,21.483138287453137
12070,12,1,1,0,75574.0,12.04117818297298,2.0409508525131788,1.7724610633558093,0.4955143303252441,0.1559398735014687,0.2347897425040357,0.3166168258925027,4.340865428597566,18.34478436989459,19.22290847838293,37.20382398682646,30.365015777812594,16.512071869736104,25.116640746500774,21.84052100351364,34.636720943290285,22.83642850608361,16.411163082156524,8.087591240875911,65.4,69.5,71.4,14.003918941297023,0.8781241084883398,19.22,8.09,2487.7,38.53177018551354
12071,12,1,1,0,111955.0,,10.58670268376783,4.387095101968265,0.4907775445491492,0.1591532312089678,0.2154615693805547,0.3294002054396855,6.972134444125251,28.884640248682995,27.394695348575286,38.07382935937949,25.051235849964925,14.393512782971056,20.590347601264007,15.029641142731387,27.92966550287195,21.34587762137317,14.8948461549042,6.720914517400608,68.5,75.0,76.3,21.912505804557746,-1.4899449001077087,27.39,6.72,2605.16,32.32548791925327
12072,12,1,1,1,172545.0,10.026369932481382,4.5166892218419825,4.852066576909354,0.4984554753832333,0.1854878437509055,0.2763568924048799,0.3082152481961227,6.0758636261007,19.957673905042324,17.096939985767374,34.775344321517274,27.061096797938905,15.982051079307348,23.87672160758636,18.527379053694844,29.524788487388317,21.977873109053963,15.696438064859116,7.898118130782003,67.3,73.5,75.3,13.881810278941623,-2.8607339192749492,17.1,7.9,2961.61,25.703439682401694
12073,12,1,1,0,117336.0,9.289561600872707,4.081991421819671,3.7102330939069748,0.4890826344855798,0.1615020113179246,0.2261028158450944,0.318077998227313,4.709158226492457,20.79071853255602,21.157973109096485,38.403047642361,30.121370810247804,15.943298442313026,23.019491447630124,17.75717158273902,33.79757368720711,22.82977877053946,17.77163771030133,8.319829486561847,63.5,69.4,70.5,16.081560306063565,0.36725457654046423,21.16,8.32,2630.58,52.05563509920229
